con cambios;name;region;subregion;nombre_spanish
ago;Angola;África;África Central;Angola
bdi;Burundi;África;África Oriental;Burundi
ben;Benin;África;África Occidental;Benín
bfa;Burkina Faso;África;África Occidental;Burkina Faso
bwa;Botswana;África;África austral;Botsuana
caf;Central African Republic;África;África Central;República Centroafricana
civ;Cote d'Ivoire;África;África Occidental;Costa de Marfil
cmr;Cameroon;África;África Central;Camerún
cod;Democratic Republic of the Congo;África;África Central;República Democrática del Congo
cog;Republic of the Congo;África;África Central;Congo (República del)
com;Comoros;África;África Oriental;Comoras
cpv;Cape Verde;África;África Occidental;Cabo Verde
dji;Djibouti;África;África Oriental;Yibuti
dza;Algeria;África;África del Norte;Argelia
egy;Egypt;África;África del Norte;Egipto
eri;Eritrea;África;África Oriental;Eritrea
esh;Western Sahara;África;África del Norte;Sahara Occidental
eth;Ethiopia;África;África Oriental;Etiopía
gab;Gabon;África;África Central;Gabón
gha;Ghana;África;África Occidental;Ghana
gin;Guinea;África;África Occidental;Guinea
gmb;Gambia;África;África Occidental;Gambia
gnb;Guinea-Bissau;África;África Occidental;Guinea-Bissau
gnq;Equatorial Guinea;África;África Central;Guinea Ecuatorial
ken;Kenya;África;África Oriental;Kenia
lbr;Liberia;África;África Occidental;Liberia
lby;Libya;África;África del Norte;Libia
lso;Lesotho;África;África austral;Lesoto
mar;Morocco;África;África del Norte;Marruecos
mdg;Madagascar;África;África Oriental;Madagascar
mli;Mali;África;África Occidental;Malí
moz;Mozambique;África;África Oriental;Mozambique
mrt;Mauritania;África;África Occidental;Mauritania
mus;Mauritius;África;África Oriental;Mauricio
mwi;Malawi;África;África Oriental;Malaui
myt;Mayotte;África;África Oriental;Mayotte
nam;Namibia;África;África austral;Namibia
ner;Niger;África;África Occidental;Níger
nga;Nigeria;África;África Occidental;Nigeria
reu;Reunion;África;África Oriental;Reunión
rwa;Rwanda;África;África Oriental;Ruanda
sdn;Sudan;África;África del Norte;Sudán
sen;Senegal;África;África Occidental;Senegal
shn;Saint Helena;África;África Occidental;Santa Helena
sle;Sierra Leone;África;África Occidental;Sierra Leona
som;Somalia;África;África Oriental;Somalia
ssd;South Sudan;África;África Oriental;Sudán del Sur
stp;Sao Tome and Principe;África;África Central;Santo Tomé y Príncipe
swz;Swaziland;África;África austral;Suazilandia
syc;Seychelles;África;África Oriental;Seychelles
tcd;Chad;África;África Central;Chad
tgo;Togo;África;África Occidental;Togo
tun;Tunisia;África;África del Norte;Túnez
