codigo;product;producto esp;codigo madre;producto madre
080300;Bananas, incl. plantains, fresh/dried;Bananas o plátanos, frescos o secos;803;Banano
090111;Coffee, not roasted, not decaffeinated;Café sin tostar ni descafeinar;901;Café
090112;Coffee, not roasted, decaffeinated;Café descafeinado sin tostar;901;Café
090121;Coffee, roasted, not decaffeinated;Café tostado sin descafeinar;901;Café
090122;Coffee, roasted, decaffeinated;Café tostado descafeinado;901;Café
090190;"Coffee husks & skins; coffee substitutes containing coffee in any proportion";"Cáscara y cascarilla de café; sucedáneos de café que contengan café en cualquier proporción";901;Café
170111;Raw sugar, cane;Azúcar pura de caña;1701;Azúcar
170112;Raw sugar, beet;Azúcar de remolacha;1701;Azúcar
170191;Refined sugar, in solid form, flavoured or coloured;Azúcar refinada;1701;Azúcar
170199;Refined sugar, in solid form, nes, pure sucrose;;1701;Azúcar
151110;Palm oil, crude;Aceite de palma en bruto;1511;Aceite de palma
151190;Palm oil or fractions simply refined;Aceite de palma refinado;1511;Aceite de palma
180100;Cocoa beans, whole/broken, raw/roasted;Cacao en grano, entero o partido, crudo o tostado;1801;Cacao
